time_step,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
37,0.11125297,0.050585166,0.09093369,0.07050732,0.039067667,0.10714743,0.1253618,0.035542328,0.1088135,0.12838791,0.084804215,0.026074436,0.066998735,0.019102383
38,0.12925874,0.047106978,0.13090466,0.11251461,0.058989856,0.15356404,0.15779662,0.03333086,0.13491382,0.18285093,0.103661746,0.047008462,0.11413329,0.02799787
39,0.16290148,0.0535531,0.14699692,0.13792293,0.06614074,0.20989518,0.21110556,0.038676184,0.14680937,0.24440247,0.1264934,0.04918428,0.13222077,0.045710336
40,0.19358554,0.07385029,0.18727684,0.18571836,0.10077645,0.28301615,0.26659268,0.061914522,0.20901027,0.3095817,0.17216648,0.075346015,0.1707069,0.07457126
41,0.24745059,0.085493095,0.23469315,0.2243667,0.12690455,0.38960105,0.30550033,0.09136244,0.26904768,0.39418575,0.19593267,0.0970632,0.1957381,0.103484266
42,0.2934001,0.12049177,0.31637773,0.2972076,0.1570115,0.473083,0.36128715,0.12816113,0.28801948,0.48331755,0.2785879,0.14609514,0.2219307,0.13459164
43,0.37452886,0.14316364,0.32387933,0.3018592,0.19178441,0.57117176,0.433479,0.16621085,0.3568251,0.5455543,0.285721,0.15665677,0.33095586,0.16467118
44,0.41208443,0.17176215,0.36252114,0.40844578,0.24777602,0.6426562,0.4934636,0.21456338,0.44583112,0.669341,0.36292598,0.19689187,0.33605927,0.18789765
45,0.5168521,0.21096207,0.43797958,0.46471393,0.2979745,0.81432605,0.61152065,0.27563354,0.523265,0.7714828,0.44528925,0.26127997,0.40321362,0.25343347
46,0.5293414,0.24579838,0.5344325,0.58265406,0.38007826,0.9090687,0.77309614,0.35886124,0.56841785,0.90424544,0.49114653,0.27409253,0.43624097,0.28307664
47,0.6355017,0.25667694,0.59581774,0.7194153,0.5062671,1.0464139,0.8207646,0.501,0.6888064,1.0048729,0.59051,0.37043214,0.51489586,0.3364373
48,0.7173664,0.28116015,0.6741973,0.77533823,0.5793012,1.1859769,1.1449932,0.60298234,0.8754906,1.153599,0.6094619,0.43312365,0.6288957,0.40450668
49,0.84717077,0.44976765,0.7529825,0.94497675,0.7920369,1.3115327,1.2148331,0.7774824,1.0000098,1.2676737,0.75772095,0.5099252,0.72844195,0.46100944
50,0.8483756,0.5384705,0.8873286,0.94628465,0.95367634,1.3413361,1.320213,0.97982347,1.0940095,1.245647,0.782933,0.60505193,0.7532745,0.5674213
