Feature,Importance
sensor_11,0.3800207641712317
sensor_9,0.3039954096965961
sensor_14,0.29434394446076123
sensor_7,0.29333695258964293
sensor_13,0.27086948712998676
sensor_12,0.2701643074771551
sensor_4,0.24046532604064508
sensor_2,0.23198946305741278
sensor_20,0.22696765349067005
sensor_15,0.22159751505274897
sensor_8,0.21065284803082432
sensor_17,0.18240437863298284
sensor_21,0.18041188566650312
sensor_3,0.12723164903737613
